"dt_referencia","dt_atualizacao","confirmados","obitos","tx_obitos","recuperados","tx_recuperados","isolamento","tx_isolamento","enfermaria","tx_enfermaria","uti","tx_uti","testes_novos","testes_acumulados","tx_testes","leitos_uti","tx_oc_uti","leitos_enf","tc_oc_enf"
"2020-04-03","","176","14","0.08","23","0.131","87","0.569","34","0.222","18","0.102","0","0","0","0","0","0","0"
"2020-04-04","","201","21","0.104","25","0.124","87","0.494","49","0.278","19","0.094","0","0","0","0","0","0","0"
"2020-04-05","","223","30","0.134","25","0.112","101","0.51","44","0.222","23","0.103","0","0","0","0","0","0","0"
"2020-04-06","","352","34","0.097","32","0.091","166","0.519","94","0.294","26","0.074","0","0","0","0","0","0","0"
"2020-04-07","","401","46","0.115","32","0.08","189","0.512","110","0.298","24","0.06","0","0","0","0","0","0","0"
"2020-04-08","","555","56","0.101","44","0.079","246","0.481","180","0.352","29","0.052","0","0","0","0","0","0","0"
"2020-04-09","","684","65","0.095","44","0.064","359","0.561","185","0.289","31","0.045","272","2959","308","0","0","0","0"
"2020-04-10","","816","72","0.088","45","0.055","443","0.575","222","0.288","34","0.042","322","3281","342","0","0","0","0"
"2020-04-11","","960","85","0.088","46","0.048","548","0.6","241","0.264","40","0.042","336","3617","377","0","0","0","0"
"2020-04-12","","1154","102","0.088","57","0.049","708","0.645","232","0.212","55","0.048","307","3924","409","0","0","0","0"
"2020-04-13","","1284","115","0.09","68","0.053","773","0.636","265","0.218","63","0.049","320","4244","442","0","0","0","0"
"2020-04-14","","1484","143","0.096","68","0.046","942","0.665","263","0.186","68","0.046","389","4633","483","0","0","0","0"
"2020-04-15","","1683","160","0.095","86","0.051","1095","0.686","277","0.174","65","0.039","532","5165","538","0","0","0","0"
"2020-04-16","","2006","186","0.093","88","0.044","1359","0.709","303","0.158","70","0.035","699","5864","611","269","0.95","302","0.77"
"2020-04-17","","2193","205","0.094","94","0.043","1510","0.719","313","0.149","71","0.032","499","6363","663","307","0.95","322","0.73"
